ID	Abbreviation	Name	OMIM ID	Individuals	Phenotypes	Associated with genes	Associated tissues	Disease features
402	203750	ALPHA-METHYLACETOACETIC ACIDURIA	203750	0	0	ACAT1	-	-
403	212350	SENGERS SYNDROME	212350	0	0	AGK	-	-
12	220110	"Mitochondrial complex IV deficiency, 220110 (3)"	220110	1	0	"APOPT1, COA5, COA7, COX10, COX14, COX20, COX6B1, COX8A, FASTKD2, MT-CO1, MT-CO2, MT-CO3, MT-TL1, MT-TN, PET100, SCO1, SURF1, TACO1"	-	-
653	233690	"Granulomatous disease, chronic, autosomal recessive, cytochrome b-negative"	233690	0	0	CYBA	-	-
645	233710	"Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 2"	233710	0	0	NCF2	-	-
85	237300	Carbamoylphosphate synthetase I deficiency;CPS I DEFICIENCY	237300	0	0	CPS1	-	-
38	245400	"Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria), 245400 (3)"	245400	0	0	SUCLG1	-	-
408	251950	MITOCHONDRIAL MYOPATHY WITH LACTIC ACIDOSIS	251950	0	0	", PNPLA8"	-	-
11	252010	"Mitochondrial complex I deficiency, 252010 (3)"	252010	0	0	"FOXRED1, MT-ND1, MT-ND2, MT-ND3, MT-ND4, MT-TN, NDUFA1, NDUFA11, NDUFAF1, NDUFAF2, NDUFAF3, NDUFAF4, NDUFAF5, NDUFB11, NDUFB3, NDUFB9, NDUFS1, NDUFS2, NDUFS3, NDUFS4, 7 more"	-	-
16	252011	"Mitochondrial complex II deficiency, 252011 (3)"	252011	0	0	"SDHA, SDHAF1, SDHD"	-	-
486	255110	"CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, LATE-ONSET"	255110	0	0	CPT2	-	-
440	255120	CARNITINE PALMITOYLTRANSFERASE I DEFICIENCY	255120	0	0	", CPT1A"	-	-
118	258450	"Progressive external ophthalmoplegia, autosomal recessive, 258450 (3)"	258450	0	0	POLG	-	-
398	266150	"Pyruvate carboxylase deficiency, 266150 (3)"	266150	0	0	PC	-	-
119	267500	"Reticular dysgenesis, 267500 (3)"	267500	0	0	AK2	-	-
526	300438	"HSD10 mitochondrial disease, 300438 (3)"	300438	0	0	HSD17B10	-	-
575	301020	"MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 12; MC1DN12"	301020	0	0	NDUFA1	-	-
576	301021	"MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 30; MC1DN30"	301021	0	0	NDUFB11	-	-
390	308930	"Leigh syndrome, X-linked, 308930 (3)"	308930	0	0	PDHA1	-	-
160	500004	RETINITIS PIGMENTOSA-DEAFNESS SYNDROME	500004	0	0	"CDH23, CLRN1, DFNB31, GPR98, MT-TS2, MYO7A, PCDH15, USH1C, USH1G, USH2A"	-	-
170	556500	"PARKINSON DISEASE, MITOCHONDRIAL"	556500	0	0	"MT-TK, NDUFV2"	-	-
