ID	Abbreviation	Name	OMIM ID	Individuals	Phenotypes	Associated with genes	Associated tissues	Disease features
433	161700	"NECROTIZING ENCEPHALOMYELOPATHY, SUBACUTE, OF LEIGH, ADULT"	161700	0	0	-	-	-
656	165200	"OPTIC ATROPHY WITH DEMYELINATING DISEASE OF CNS, 165200"	165200	0	0	-	-	-
464	201460	MOVED TO 201475	201460	0	0	ACADVL	-	-
402	203750	ALPHA-METHYLACETOACETIC ACIDURIA	203750	0	0	ACAT1	-	-
438	212160	"CARNITINE DEFICIENCY, MYOPATHIC"	212160	0	0	-	-	-
403	212350	SENGERS SYNDROME	212350	0	0	AGK	-	-
12	220110	"Mitochondrial complex IV deficiency, 220110 (3)"	220110	1	0	"APOPT1, COA5, COA7, COX10, COX14, COX20, COX6B1, COX8A, FASTKD2, MT-CO1, MT-CO2, MT-CO3, MT-TL1, MT-TN, PET100, SCO1, SURF1, TACO1"	-	-
404	221745	"DEAFNESS, SENSORINEURAL, AUTOSOMAL-MITOCHONDRIAL TYPE"	221745	0	0	-	-	-
653	233690	"Granulomatous disease, chronic, autosomal recessive, cytochrome b-negative"	233690	0	0	CYBA	-	-
644	233700	"Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 1"	233700	0	0	NCF1	-	-
645	233710	"Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 2"	233710	0	0	NCF2	-	-
85	237300	Carbamoylphosphate synthetase I deficiency;CPS I DEFICIENCY	237300	0	0	CPS1	-	-
405	238710	HYPERLYSINEMIA DUE TO DEFECT IN LYSINE TRANSPORT INTO MITOCHONDRIA	238710	0	0	-	-	-
106	238970	"Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome, 238970 (3)"	238970	0	0	SLC25A15	-	-
38	245400	"Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria), 245400 (3)"	245400	0	0	SUCLG1	-	-
650	250800	Deficiency of cytochrome-b5 reductase	250800	0	0	CYB5R3	-	-
407	251945	MITOCHONDRIAL MYOPATHY WITH A DEFECT IN MITOCHONDRIAL-PROTEIN TRANSPORT	251945	0	0	-	-	-
408	251950	MITOCHONDRIAL MYOPATHY WITH LACTIC ACIDOSIS	251950	0	0	", PNPLA8"	-	-
11	252010	"Mitochondrial complex I deficiency, 252010 (3)"	252010	0	0	"FOXRED1, MT-ND1, MT-ND2, MT-ND3, MT-ND4, MT-TN, NDUFA1, NDUFA11, NDUFAF1, NDUFAF2, NDUFAF3, NDUFAF4, NDUFAF5, NDUFB11, NDUFB3, NDUFB9, NDUFS1, NDUFS2, NDUFS3, NDUFS4, 7 more"	-	-
16	252011	"Mitochondrial complex II deficiency, 252011 (3)"	252011	0	0	"SDHA, SDHAF1, SDHD"	-	-
486	255110	"CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, LATE-ONSET"	255110	0	0	CPT2	-	-
440	255120	CARNITINE PALMITOYLTRANSFERASE I DEFICIENCY	255120	0	0	", CPT1A"	-	-
409	255140	MYOPATHY WITH GIANT ABNORMAL MITOCHONDRIA	255140	0	0	-	-	-
118	258450	"Progressive external ophthalmoplegia, autosomal recessive, 258450 (3)"	258450	0	0	POLG	-	-
410	258470	OPHTHALMOPLEGIC NEUROMUSCULAR DISORDER WITH ABNORMAL MITOCHONDRIA	258470	0	0	-	-	-
46	261650	"PEPCK deficiency, mitochondrial, 261650 (1)"	261650	0	0	", PCK2"	-	-
398	266150	"Pyruvate carboxylase deficiency, 266150 (3)"	266150	0	0	PC	-	-
119	267500	"Reticular dysgenesis, 267500 (3)"	267500	0	0	AK2	-	-
526	300438	"HSD10 mitochondrial disease, 300438 (3)"	300438	0	0	HSD17B10	-	-
575	301020	"MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 12; MC1DN12"	301020	0	0	NDUFA1	-	-
576	301021	"MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 30; MC1DN30"	301021	0	0	NDUFB11	-	-
390	308930	"Leigh syndrome, X-linked, 308930 (3)"	308930	0	0	PDHA1	-	-
151	500000	"CARDIOMYOPATHY, INFANTILE HISTIOCYTOID"	500000	0	0	MT-CYB	-	-
146	500002	MITOCHONDRIAL MYOPATHY WITH DIABETES	500002	0	0	", MT-TE"	-	-
157	500003	"STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL"	500003	0	0	MT-ATP6	-	-
160	500004	RETINITIS PIGMENTOSA-DEAFNESS SYNDROME	500004	0	0	"CDH23, CLRN1, DFNB31, GPR98, MT-TS2, MYO7A, PCDH15, USH1C, USH1G, USH2A"	-	-
148	500005	"HYPOMAGNESEMIA, HYPERTENSION, AND HYPERCHOLESTEROLEMIA, MITOCHONDRIAL, caused by a mutation in the mitochondrial tRNA(Ile) gene (590045). MT-TI"	500005	0	0	MT-TI	-	-
570	500006	"500006 CARDIOMYOPATHY, INFANTILE HYPERTROPHIC"	500006	0	0	"MT-ATP6, MT-ATP8"	-	"Evidence that infantile hypertrophic cardiomyopathy can be caused by mutation in the overlapping MTATP6 (516060) and MTATP8 (516070) genes. ? Molecular Genetics In 4 unrelated infants who presented with isolated hypertrophic cardiomyopathy and congestive heart failure and who later developed severe feeding difficulties and failure to thrive, Ware et al. (2009) identified an 8528T-C transition, resulting in concurrent changes in the overlapping MTATP6 and MTATP8 genes, M1T (516060.0010) and W55R (516070.0003), respectively. Ware et al. (2009) stated that this was the first description of a mitochondrial mutation affecting both complex V genes."
159	500008	"DEAFNESS, NONSYNDROMIC SENSORINEURAL, MITOCHONDRIAL"	500008	0	0	", MT-ND1, MT-RNR1, MT-TH, MT-TI, MT-TS1"	-	-
571	500010	"500010 ATAXIA AND POLYNEUROPATHY, ADULT-ONSET"	500010	0	0	MT-ATP6	-	Evidence that adult-onset ataxia and polyneuropathy can be caused by mutation in the MTATP6 gene (516060).
577	500014	"MITOCHONDRIAL COMPLEX I DEFICIENCY, MITOCHONDRIAL TYPE 1; MC1DM1"	500014	0	0	MT-ND3	-	-
655	500015	"Mitochondrial complex v (atp synthase) deficiency, mitochondrial type 1"	500015	0	0	MT-ATP6	-	-
147	502000	AGING aging represents a phenotype seemingly related to changes in mitochondrial DNA	502000	0	0	-	-	-
161	502500	"ALZHEIMER DISEASE, SUSCEPTIBILITY TO, MITOCHONDRIAL"	502500	0	0	-	-	-
145	515000	"CHLORAMPHENICOL TOXICITY;ANEMIA, CHLORAMPHENICOL-INDUCED;CHLORAMPHENICOL RESISTANCE, INCLUDED"	515000	0	0	", MT-RNR2"	-	-
164	520100	"DIARRHEA, CHRONIC, WITH VILLOUS ATROPHY Links"	520100	0	0	-	-	-
166	550500	"MYOGLOBINURIA, RECURRENT"	550500	0	0	MT-CO1	-	-
171	551200	"NEPHROPATHY, CHRONIC TUBULOINTERSTITIAL"	551200	0	0	-	-	-
167	553000	ONCOCYTOMA	553000	0	0	", MT-ND6"	-	-
170	556500	"PARKINSON DISEASE, MITOCHONDRIAL"	556500	0	0	"MT-TK, NDUFV2"	-	-
169	557000	PEARSON MARROW-PANCREAS SYNDROME	557000	0	0	-	-	-
144	560000	"RENAL TUBULOPATHY, DIABETES MELLITUS, AND CEREBELLAR ATAXIA, caused by duplication of mitochondrial DNA"	560000	0	0	-	-	-
