All transcripts| 4507 entries on 5 pages. Showing entries 1 - 4507.
ID	Chr	Gene ID	Name	NCBI ID	NCBI Protein ID	Variants
00000002	15	IVD	transcript variant 1	NM_002225.3	NP_002216.2	0
00000003	15	IVD	transcript variant 2	NM_001159508.1	NP_001152980.1	0
00000004	1	MFN2	transcript variant 1	NM_014874.3	NP_055689.1	40
00000005	1	MFN2	transcript variant 2	NM_001127660.1	NP_001121132.1	40
00000006	6	AARS2	alanyl-tRNA synthetase 2, mitochondrial	NM_020745.3	NP_065796.1	92
00000007	X	ABCB7	transcript variant 1	NM_004299.4	NP_004290.2	0
00000008	X	ABCB7	transcript variant 2	NM_001271696.1	NP_001258625.1	0
00000009	X	ABCB7	transcript variant 3	NM_001271697.1	NP_001258626.1	0
00000010	X	ABCB7	transcript variant 4	NM_001271698.1	NP_001258627.1	0
00000011	X	ABCB7	transcript variant 5	NM_001271699.1	NP_001258628.1	0
00000012	2	BCS1L	BCS1-like (S. cerevisiae), transcript variant 1	NM_004328.4	NP_004319.1	88
00000013	2	BCS1L	BCS1-like (S. cerevisiae), transcript variant 2	NM_001079866.1	NP_001073335.1	88
00000014	3	ACAD9	transcript variant 1	NM_014049.4	NP_054768.2	69
00000015	3	ACAD9	transcript variant 2	NR_033426.1	-	69
00000017	6	AARS2	transcript variant X1	XM_005249245.1	XP_005249302.1	93
00000018	6	AARS2	transcript variant X2	XR_241907.1	-	93
00000019	22	ACO2	transcript variant X2	XM_005261622.1	XP_005261679.1	15
00000020	22	ACO2	transcript variant X1	XM_005261621.1	XP_005261678.1	15
00000021	22	ACO2	aconitase 2, mitochondrial	NM_001098.2	NP_001089.1	15
00000022	18	AFG3L2	AFG3 ATPase family gene 3-like 2 (S. cerevisiae)	NM_006796.2	NP_006787.2	14
00000023	7	AGK	acylglycerol kinase	NM_018238.3	NP_060708.1	62
00000024	X	AIFM1	transcript variant 3	NM_145813.2	NP_665812.1	36
00000025	X	AIFM1	transcript variant 2	NM_145812.2	NP_665811.1	37
00000026	X	AIFM1	transcript variant 1	NM_004208.3	NP_004199.1	37
00000027	X	AIFM1	transcript variant 5	NM_001130847.3	NP_001124319.1	37
00000028	X	AIFM1	transcript variant 4	NM_001130846.2	NP_001124318.1	20
00000029	X	ALAS2	transcript variant 2	NM_001037967.3	NP_001033056.1	0
00000030	X	ALAS2	transcript variant 1	NM_000032.4	NP_000023.2	0
00000031	X	ALAS2	transcript variant 3	NM_001037968.3	NP_001033057.1	0
00000032	9	ALDH1B1	aldehyde dehydrogenase 1 family, member B1	NM_000692.4	NP_000683.3	0
00000033	9	APTX	transcript variant 8	NM_001195250.1	NP_001182179.1	25
00000034	9	APTX	transcript variant 12	NR_036576.1	-	25
00000035	9	APTX	transcript variant 13	NR_036577.1	-	25
00000036	9	APTX	transcript variant 11	NM_001195252.1	NP_001182181.1	25
00000037	9	APTX	transcript variant 6	NM_001195248.1	NP_001182177.1	25
