Symbol	Gene	Chr	Band	Transcripts	Variants	Unique variants	Last updated	Associated with diseases
AADAT	aminoadipate aminotransferase	4	q33	4	0	0	N/A	-
AARS2	"alanyl-tRNA synthetase 2, mitochondrial"	6	p21.1	3	93	90	13-11-2013	"COXPD8, LKENP"
AASS	aminoadipate-semialdehyde synthase	7	q31.3	1	0	0	N/A	-
ABAT	4-aminobutyrate aminotransferase	16	p13.2	3	0	0	N/A	-
ABCA13	ATP binding cassette subfamily A member 13	7	p12.3	29	0	0	N/A	-
ABCA9	"ATP-binding cassette, sub-family A (ABC1), member 9"	17	q24	5	0	0	N/A	-
ABCB10	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"	1	q32	1	0	0	N/A	-
ABCB6	"ATP-binding cassette, sub-family B (MDR/TAP), member 6"	2	q36	1	0	0	N/A	-
ABCB7	"ATP-binding cassette, sub-family B (MDR/TAP), member 7"	X	q13.3	5	0	0	N/A	-
ABCB8	"ATP-binding cassette, sub-family B (MDR/TAP), member 8"	7	q36.1	1	0	0	N/A	-
ABCB9	ATP binding cassette subfamily B member 9	12	q24	13	0	0	N/A	-
ABCC12	"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"	16	q12.1	1	0	0	N/A	-
ABCC8	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"	11	p15.1	1	15	13	26-11-2013	NIDDM
ABCC9	"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"	12	p12.1	1	2	2	18-04-2014	-
ABCD1	"ATP-binding cassette, sub-family D (ALD), member 1"	X	q28	1	0	0	N/A	-
ABCD2	"ATP-binding cassette, sub-family D (ALD), member 2"	12	q12	1	0	0	N/A	-
ABCD3	"ATP-binding cassette, sub-family D (ALD), member 3"	1	p21.3	2	0	0	N/A	-
ABCF2	"ATP-binding cassette, sub-family F (GCN20), member 2"	7	q36.1	3	0	0	N/A	-
ABHD10	abhydrolase domain containing 10	3	q13.2	2	0	0	N/A	-
