NCBI_Protein_ID_uniprot_ids_984.txt NCBI_Protein_ID_uniprot_ids_5778.txt
NP_001257655.1	A0A087WX97
NP_005784.1	A0A0C4DG91
NP_000986.2	A1LUY1
NP_296374.1	A1LUY1
NP_001009814.1	A3KMH1
NP_055873.1	A3KMH1
NP_001036182.1	A4D1E9
NP_149098.2	A4D1E9
NP_001258152.2	A6NGQ3
NP_001099040.1	A8MXV4
NP_001356.1	B9EGL1
NP_001185808.1	G3V325
NP_003650.1	O00116
NP_009205.3	O00154
NP_863654.1	O00154
NP_863655.1	O00154
NP_863656.1	O00154
NP_001018238.1	O00165
NP_006109.2	O00165
NP_002487.1	O00217
NP_001128496.1	O00330
NP_001159630.1	O00330
NP_003468.2	O00330
NP_001177921.1	O00400
NP_004724.1	O00400
NP_005026.3	O00411
NP_001265392.1	O00429
NP_001265393.1	O00429
NP_001265394.1	O00429
NP_001265395.1	O00429
NP_005681.2	O00429
NP_036192.2	O00429
NP_036193.2	O00429
NP_002480.1	O00483
NP_005000.1	O00746
NP_001084.3	O00763
XP_005253933.1	O00763
NP_004709.2	O14548
NP_000382.3	O14773
NP_008986.2	O14802
NP_001116429.1	O14874
NP_001258855.1	O14874
NP_005872.2	O14874
NP_004519.1	O14880
XP_005245231.2	O14880
NP_006318.1	O14925
NP_055217.2	O14949
NP_006821.1	O14957
XP_005274249.1	O15020
XP_005274250.1	O15020
NP_079390.3	O15078
NP_001243607.1	O15091
NP_001243608.1	O15091
NP_001243609.1	O15091
NP_001243610.1	O15091
NP_055487.2	O15091
XP_005268294.1	O15091
XP_011535711.1	O15091
XP_011535712.1	O15091
NP_000262.2	O15118
NP_005987.3	O15119
NP_055051.1	O15228
NP_066930.1	O15235
NP_203526.1	O15235
NP_203527.1	O15235
NP_004532.1	O15239
NP_004854.1	O15270
NP_000294.1	O15305
NP_085056.2	O43169
NP_002486.1	O43181
NP_000545.1	O43186
NP_037379.1	O43464
NP_659540.1	O43464
NP_009133.2	O43572
NP_006342.2	O43615
NP_001186886.1	O43674
NP_001186887.1	O43674
NP_002483.1	O43674
NP_001244031.1	O43676
NP_002482.1	O43676
NP_001171941.1	O43678
NP_002479.1	O43678
NP_057483.1	O43715
NP_789788.1	O43716
NP_004530.1	O43776
NP_001162580.1	O43819
NP_001162581.1	O43819
NP_001162582.1	O43819
NP_005129.2	O43819
NP_036359.3	O43824
NP_001157749.1	O43826
NP_001157750.1	O43826
NP_001157751.1	O43826
NP_001157752.1	O43826
