NCBI Protein ID	UniProt_ID
NP_000009.1	P49748
NP_001029031.1	P49748
NP_001257376.1	P49748
NP_000010.1	P24752
NP_000039.2	P04424
NP_001020114.1	P04424
NP_001020115.1	P04424
NP_000077.1	Q13286
NP_001035897.1	Q13286
NP_000082.2	Q01955
NP_000088.3	P36551
NP_000099.2	P09622
NP_000106.1	P24530
NP_000107.1	Q16635
NP_851828.1	Q16635
NP_851829.1	Q16635
NP_851830.1	Q16635
NP_000133.1	P22607
NP_000134.2	P07954
NP_000150.1	Q92947
NP_039663.1	Q92947
NP_000153.1	P35557
NP_277042.1	P35557
NP_277043.1	P35557
NP_000166.2	P06744
NP_001171651.1	P06744
NP_000173.2	P40939
NP_000174.1	P55084
NP_000182.2	P35914
NP_001159531.1	P35914
NP_000189.1	P26439
NP_001159592.1	P26439
NP_000198.1	P01308
NP_000199.2	P06213
NP_000209.2	P51787
NP_000229.1	Q12809
NP_000231.1	P21397
NP_001257387.1	P21397
NP_000247.2	Q14896
NP_000251.3	Q13402
NP_000256.4	P14598
NP_000259.1	P35240
NP_000260.1	P15531
NP_937818.1	P15531
NP_000262.2	O15118
NP_000273.2	P05165
NP_001121164.1	P05165
NP_001171475.1	P05165
NP_000294.1	O15305
NP_000301.1	P50897
NP_001136076.1	P50897
NP_000310.2	P50542
NP_000311.2	P09417
NP_000319.1	Q92834
NP_000328.2	Q92629
NP_001121681.1	Q92629
NP_758447.1	Q92629
XP_005266023.1	Q92629
NP_000331.1	P11168
NP_000332.2	Q07837
NP_000343.2	Q09428
NP_000355.2	P45379
NP_000373.1	P51648
NP_001026976.1	P51648
NP_000382.3	O14773
NP_000399.3	P43304
NP_001076581.2	P43304
NP_000421.1	P43034
NP_000424.2	P19878
NP_000427.1	P55809
NP_000432.1	O43511
NP_000438.2	P49810
NP_000449.1	P35680
NP_000457.1	O43933
NP_000486.1	P29400
NP_000488.3	P15538
NP_001021384.1	P15538
NP_000518.1	P01130
NP_000523.2	P05166
NP_001171485.1	P05166
NP_000531.2	P21817
NP_001036188.1	P21817
NP_000572.2	P07203
NP_000592.3	P14210
NP_000622.2	Q15080
NP_000624.2	P10415
NP_000687.3	P49189
NP_000700.1	P12694
NP_001158255.1	P12694
NP_000772.2	P05108
NP_001093243.1	P05108
NP_000874.2	P20839
NP_000889.3	P27338
NP_000916.2	P11177
NP_001166939.1	P11177
NP_000968.2	P26373
NP_001001503.1	P56181
NP_066553.3	P56181
NP_001001563.1	Q3ZCQ8
NP_001001790.1	Q8N4H5
NP_001127956.1	Q8N4H5
NP_001127957.1	Q8N4H5
NP_001001973.1	P36542
NP_005165.1	P36542
NP_001002019.1	Q9Y606
NP_001002020.1	Q9Y606
NP_079491.2	Q9Y606
NP_001002031.1	Q06055
NP_005167.2	Q06055
NP_001003696.1	P18859
NP_001003697.1	P18859
NP_001003701.1	P18859
NP_001003703.1	P18859
NP_001676.2	P18859
NP_001003785.1	O75947
NP_006347.1	O75947
NP_001003941.1	Q02218
